year_month,age_group,high_ai,n_employed
2019-01,22-25,0,246682
2019-01,22-25,1,38394
2019-01,26+,0,2794415
2019-01,26+,1,1130928
2019-02,22-25,0,242662
2019-02,22-25,1,38250
2019-02,26+,0,2788175
2019-02,26+,1,1130037
2019-03,22-25,0,241667
2019-03,22-25,1,38239
2019-03,26+,0,2786881
2019-03,26+,1,1130503
2019-04,22-25,0,245716
2019-04,22-25,1,38898
2019-04,26+,0,2800958
2019-04,26+,1,1132765
2019-05,22-25,0,250126
2019-05,22-25,1,39500
2019-05,26+,0,2810573
2019-05,26+,1,1135036
2019-06,22-25,0,261448
2019-06,22-25,1,41615
2019-06,26+,0,2829665
2019-06,26+,1,1139899
2019-07,22-25,0,275423
2019-07,22-25,1,43743
2019-07,26+,0,2817841
2019-07,26+,1,1132385
2019-08,22-25,0,273751
2019-08,22-25,1,44075
2019-08,26+,0,2796336
2019-08,26+,1,1129284
2019-09,22-25,0,270663
2019-09,22-25,1,44512
2019-09,26+,0,2810168
2019-09,26+,1,1134143
2019-10,22-25,0,250932
2019-10,22-25,1,42273
2019-10,26+,0,2796749
2019-10,26+,1,1133070
2019-11,22-25,0,250114
2019-11,22-25,1,42161
2019-11,26+,0,2788917
2019-11,26+,1,1132597
2019-12,22-25,0,249300
2019-12,22-25,1,42218
2019-12,26+,0,2786479
2019-12,26+,1,1135371
2020-01,22-25,0,237177
2020-01,22-25,1,36921
2020-01,26+,0,2900563
2020-01,26+,1,1188002
2020-02,22-25,0,232233
2020-02,22-25,1,36509
2020-02,26+,0,2892445
2020-02,26+,1,1186829
2020-03,22-25,0,232717
2020-03,22-25,1,36603
2020-03,26+,0,2895877
2020-03,26+,1,1189094
2020-04,22-25,0,233876
2020-04,22-25,1,36774
2020-04,26+,0,2896147
2020-04,26+,1,1189246
2020-05,22-25,0,228961
2020-05,22-25,1,36276
2020-05,26+,0,2870396
2020-05,26+,1,1185422
2020-06,22-25,0,238580
2020-06,22-25,1,38101
2020-06,26+,0,2886233
2020-06,26+,1,1189195
2020-07,22-25,0,253699
2020-07,22-25,1,40155
2020-07,26+,0,2875250
2020-07,26+,1,1179837
2020-08,22-25,0,254546
2020-08,22-25,1,40523
2020-08,26+,0,2862745
2020-08,26+,1,1177910
2020-09,22-25,0,252587
2020-09,22-25,1,40809
2020-09,26+,0,2876274
2020-09,26+,1,1181815
2020-10,22-25,0,234484
2020-10,22-25,1,39096
2020-10,26+,0,2863103
2020-10,26+,1,1180646
2020-11,22-25,0,234478
2020-11,22-25,1,39220
2020-11,26+,0,2862959
2020-11,26+,1,1181684
2020-12,22-25,0,238700
2020-12,22-25,1,39606
2020-12,26+,0,2886536
2020-12,26+,1,1186348
2021-01,22-25,0,225668
2021-01,22-25,1,34835
2021-01,26+,0,2890060
2021-01,26+,1,1206908
2021-02,22-25,0,222295
2021-02,22-25,1,34343
2021-02,26+,0,2884255
2021-02,26+,1,1206042
2021-03,22-25,0,222375
2021-03,22-25,1,34575
2021-03,26+,0,2885700
2021-03,26+,1,1208346
2021-04,22-25,0,226544
2021-04,22-25,1,35321
2021-04,26+,0,2895984
2021-04,26+,1,1210812
2021-05,22-25,0,231522
2021-05,22-25,1,36279
2021-05,26+,0,2913277
2021-05,26+,1,1213502
2021-06,22-25,0,245860
2021-06,22-25,1,38925
2021-06,26+,0,2942884
2021-06,26+,1,1220516
2021-07,22-25,0,262858
2021-07,22-25,1,41084
2021-07,26+,0,2936645
2021-07,26+,1,1214125
2021-08,22-25,0,263761
2021-08,22-25,1,41588
2021-08,26+,0,2924510
2021-08,26+,1,1213303
2021-09,22-25,0,261027
2021-09,22-25,1,42085
2021-09,26+,0,2939618
2021-09,26+,1,1218630
2021-10,22-25,0,240932
2021-10,22-25,1,39966
2021-10,26+,0,2925298
2021-10,26+,1,1218349
2021-11,22-25,0,240313
2021-11,22-25,1,39947
2021-11,26+,0,2923676
2021-11,26+,1,1219322
2021-12,22-25,0,241770
2021-12,22-25,1,40244
2021-12,26+,0,2930594
2021-12,26+,1,1224022
2022-01,22-25,0,239158
2022-01,22-25,1,37717
2022-01,26+,0,2898490
2022-01,26+,1,1228887
2022-02,22-25,0,234656
2022-02,22-25,1,37281
2022-02,26+,0,2891342
