year_month,exposure_quartile,n_occ,n_zero,zero_share
2022-06,Q4 (highest),91,0,0.0
2022-07,Q1 (lowest),103,6,0.05825242718446602
2022-07,Q2,99,2,0.020202020202020204
2022-07,Q3,76,3,0.039473684210526314
2022-07,Q4 (highest),91,0,0.0
2022-08,Q1 (lowest),103,4,0.038834951456310676
2022-08,Q2,99,1,0.010101010101010102
2022-08,Q3,76,1,0.013157894736842105
2022-08,Q4 (highest),91,1,0.01098901098901099
2022-09,Q1 (lowest),103,5,0.04854368932038835
2022-09,Q2,99,2,0.020202020202020204
2022-09,Q3,76,1,0.013157894736842105
2022-09,Q4 (highest),91,1,0.01098901098901099
2022-10,Q1 (lowest),103,6,0.05825242718446602
2022-10,Q2,99,3,0.030303030303030304
2022-10,Q3,76,0,0.0
2022-10,Q4 (highest),91,0,0.0
2022-11,Q1 (lowest),103,5,0.04854368932038835
2022-11,Q2,99,2,0.020202020202020204
2022-11,Q3,76,1,0.013157894736842105
2022-11,Q4 (highest),91,0,0.0
2022-12,Q1 (lowest),103,3,0.02912621359223301
2022-12,Q2,99,1,0.010101010101010102
2022-12,Q3,76,1,0.013157894736842105
2022-12,Q4 (highest),91,1,0.01098901098901099
2023-01,Q1 (lowest),103,4,0.038834951456310676
2023-01,Q2,99,1,0.010101010101010102
2023-01,Q3,76,2,0.02631578947368421
2023-01,Q4 (highest),91,0,0.0
2023-02,Q1 (lowest),103,4,0.038834951456310676
2023-02,Q2,99,0,0.0
2023-02,Q3,76,2,0.02631578947368421
2023-02,Q4 (highest),91,0,0.0
2023-03,Q1 (lowest),103,4,0.038834951456310676
2023-03,Q2,99,2,0.020202020202020204
2023-03,Q3,76,1,0.013157894736842105
2023-03,Q4 (highest),91,1,0.01098901098901099
2023-04,Q1 (lowest),103,2,0.019417475728155338
2023-04,Q2,99,1,0.010101010101010102
2023-04,Q3,76,1,0.013157894736842105
2023-04,Q4 (highest),91,0,0.0
2023-05,Q1 (lowest),103,5,0.04854368932038835
2023-05,Q2,99,1,0.010101010101010102
