period,coef,se,pvalue,n_obs,n_emp_total,converged,elapsed_s,status,age_group
2022H2,-0.0059315429506463,0.0014019159011204,2.32627539378134e-05,18867654,67708013,True,75.6189661026001,ok,41-49
2023H1,-0.0148116733538391,0.0025054848553875,3.3859601300888e-09,18867654,67708013,True,75.6189661026001,ok,41-49
2023H2,-0.0179210787332792,0.002985715180066,1.94573733846412e-09,18867654,67708013,True,75.6189661026001,ok,41-49
2024H1,-0.0258458149921487,0.0036225127771412,9.694533826937329e-13,18867654,67708013,True,75.6189661026001,ok,41-49
2024H2,-0.0255578678126596,0.0037695920374311,1.20168424655657e-11,18867654,67708013,True,75.6189661026001,ok,41-49
2025H1,-0.0336667669672804,0.0047283410208603,1.07765069075844e-12,18867654,67708013,True,75.6189661026001,ok,41-49
2019H1,-0.0495823589147017,0.0039317836740653,1.8445870288379e-36,24076650,115893919,True,97.8867430686951,ok,50+
2019H2,-0.0474856457519136,0.0031506143294635,2.47997722422226e-51,24076650,115893919,True,97.8867430686951,ok,50+
2020H1,-0.0350021394377706,0.0026435524825098,5.115965871695609e-40,24076650,115893919,True,97.8867430686951,ok,50+
2020H2,-0.028363403787463,0.0024095006513091,5.47513138987223e-32,24076650,115893919,True,97.8867430686951,ok,50+
2021H1,-0.0136278804804422,0.0017231350471436,2.59942279106275e-15,24076650,115893919,True,97.8867430686951,ok,50+
2021H2,-0.0111480635708077,0.0013629681101119,2.8560441095553005e-16,24076650,115893919,True,97.8867430686951,ok,50+
2022H1,0.0,0.0,,24076650,115893919,True,97.8867430686951,reference,50+
2022H2,0.0031861770763056,0.0011399430561264,0.0051894612505451,24076650,115893919,True,97.8867430686951,ok,50+
2023H1,0.0107924605631715,0.002233593147464,1.35247792321234e-06,24076650,115893919,True,97.8867430686951,ok,50+
2023H2,0.0131057775339096,0.0029505493207532,8.92055861901019e-06,24076650,115893919,True,97.8867430686951,ok,50+
2024H1,0.0275304028611866,0.0033477055110245,1.97379755388973e-16,24076650,115893919,True,97.8867430686951,ok,50+
2024H2,0.0342701918678701,0.0043539346233612,3.5157712921364906e-15,24076650,115893919,True,97.8867430686951,ok,50+
2025H1,0.0324197342884537,0.0083331544725897,0.0001000578268202,24076650,115893919,True,97.8867430686951,ok,50+
