year,age_group,n_employed,m1_own_year,m2_cascade,m3_ever_seen
2019,22-25,422196,0.9796303138826516,0.9913476205364332,0.99994789150063
2020,22-25,396231,0.9918582846874676,0.9933397437353464,0.9999924286590398
2021,22-25,397299,0.9918877218417363,0.99704001268566,1.0
2022,22-25,409075,0.9921725844893968,0.9990099614985029,1.0
2023,22-25,408244,0.993660653922654,0.9992994385710506,1.0
2024,22-25,400882,0.9969966224475032,0.9993614080951502,1.0
2025,22-25,360707,0.9977211420903948,0.999581377683272,1.0
2019,26-30,649528,0.9327373107856782,0.990041999729034,0.9997644443349633
2020,26-30,639257,0.990984846470199,0.9912648590473002,0.99985295428912
2021,26-30,624929,0.9908741633049516,0.9954666850154178,0.9999759972732902
2022,26-30,611542,0.9912712454745544,0.9988422708497536,0.999983647893358
2023,26-30,583486,0.9925242422268916,0.9993813047785208,0.999994858488464
2024,26-30,551412,0.9966286551616576,0.9992582678650448,0.9999981864739976
2025,26-30,505063,0.9970756123493504,0.9992377188588354,0.999998020048984
2019,31-34,487075,0.9405348252322536,0.9908001847764718,0.999843966534928
2020,31-34,500586,0.991501959703228,0.9918915031582984,0.9998801404753628
2021,31-34,522653,0.9914398271893587,0.9956682540806232,0.9999846934773168
2022,31-34,547448,0.9920777863833644,0.9988272858792068,0.9999835600824188
2023,31-34,553681,0.9931079448274368,0.9992847867273756,0.9999783268705266
2024,31-34,543182,0.9969844361558372,0.9992323015122004,0.9999650209322104
2025,31-34,506838,0.9973107778027692,0.9992463074986484,0.9999723777617304
2019,35-40,672505,0.9468881272258198,0.992075895346503,0.9998468412874254
2020,35-40,681099,0.9927352704966532,0.99306708716354,0.9999133752949276
2021,35-40,695391,0.992343875603797,0.9961690617221104,0.9999755533218002
2022,35-40,721906,0.9925045643061562,0.9988322579393992,0.9999806068934184
2023,35-40,742987,0.9935355531119656,0.9992907009140132,0.9999798112214616
2024,35-40,756303,0.9971294573735658,0.999184189405569,0.9999735555723036
2025,35-40,754333,0.997715862888141,0.999254970947844,0.9999655324637792
2019,41-49,1027362,0.9539792205668498,0.9947048849383178,0.9998763824241116
2020,41-49,1023803,0.994805641319668,0.9952735047660536,0.9999111157126908
2021,41-49,1025827,0.994189078665311,0.997185685305612,0.999977579065476
2022,41-49,1032059,0.9945410097678524,0.9990291252728768,0.999983528073492
2023,41-49,1030671,0.9952050654379524,0.9993596404672296,0.9999835058908226
2024,41-49,1017453,0.9976559113787076,0.9993434586167615,0.999978377379594
2025,41-49,992003,0.9981703684363856,0.9994395178240388,0.9999778226477136
2019,50+,1868534,0.9355660640908864,0.9907055477716756,0.9995145927234934
2020,50+,1875036,0.9949456970426168,0.991966020919065,0.9996384069425868
2021,50+,1891368,0.994302007858862,0.9955085419653924,0.9999344389880764
2022,50+,1925924,0.9946477638785332,0.999000999000999,0.9999787115171732
2023,50+,1965741,0.9948996332680652,0.9994251531610726,0.9999765991552296
2024,50+,1984645,0.998273746690214,0.999475472943524,0.999978837525099
2025,50+,1966400,0.998798311635476,0.9995545158665582,0.9999822009764036
