age_group,n_emp,n_anchored,design,T,year,anchored_share
22-25,4550824,1170,enrol,2021,2019,0.00025709629728594207
26-30,7453563,6228,enrol,2021,2019,0.000835573537112385
31-34,5687882,0,enrol,2021,2019,0.0
35-40,8068718,0,enrol,2021,2019,0.0
41-49,12770086,0,enrol,2021,2019,0.0
50+,23042649,0,enrol,2021,2019,0.0
22-25,4550824,1028,enrol,2022,2019,0.00022589315693157986
26-30,7453563,5512,enrol,2022,2019,0.0007395120964295868
31-34,5687882,0,enrol,2022,2019,0.0
35-40,8068718,0,enrol,2022,2019,0.0
41-49,12770086,0,enrol,2022,2019,0.0
50+,23042649,0,enrol,2022,2019,0.0
22-25,4550824,1170,full,2021,2019,0.00025709629728594207
26-30,7453563,6228,full,2021,2019,0.000835573537112385
31-34,5687882,0,full,2021,2019,0.0
35-40,8068718,0,full,2021,2019,0.0
41-49,12770086,0,full,2021,2019,0.0
50+,23042649,0,full,2021,2019,0.0
22-25,4550824,1028,full,2022,2019,0.00022589315693157986
26-30,7453563,5512,full,2022,2019,0.0007395120964295868
31-34,5687882,0,full,2022,2019,0.0
35-40,8068718,0,full,2022,2019,0.0
41-49,12770086,0,full,2022,2019,0.0
50+,23042649,0,full,2022,2019,0.0
22-25,4131450,1409,enrol,2021,2020,0.00034104249113507364
26-30,7191654,8379,enrol,2021,2020,0.001165100545715909
31-34,5751152,0,enrol,2021,2020,0.0
35-40,8044201,0,enrol,2021,2020,0.0
41-49,12550889,0,enrol,2021,2020,0.0
50+,22804671,0,enrol,2021,2020,0.0
22-25,4131450,1216,enrol,2022,2020,0.0002943276573600068
26-30,7191654,6755,enrol,2022,2020,0.0009392832302555157
31-34,5751152,0,enrol,2022,2020,0.0
35-40,8044201,0,enrol,2022,2020,0.0
41-49,12550889,0,enrol,2022,2020,0.0
50+,22804671,0,enrol,2022,2020,0.0
22-25,4131450,1409,full,2021,2020,0.00034104249113507364
26-30,7191654,8379,full,2021,2020,0.001165100545715909
31-34,5751152,0,full,2021,2020,0.0
35-40,8044201,0,full,2021,2020,0.0
41-49,12550889,0,full,2021,2020,0.0
50+,22804671,0,full,2021,2020,0.0
22-25,4131450,1216,full,2022,2020,0.0002943276573600068
26-30,7191654,6755,full,2022,2020,0.0009392832302555157
31-34,5751152,0,full,2022,2020,0.0
35-40,8044201,0,full,2022,2020,0.0
41-49,12550889,0,full,2022,2020,0.0
50+,22804671,0,full,2022,2020,0.0
22-25,4195415,1999,enrol,2021,2021,0.0004764725301311074
26-30,7077901,10658,enrol,2021,2021,0.0015058136585973723
31-34,6027180,0,enrol,2021,2021,0.0
35-40,8235210,0,enrol,2021,2021,0.0
41-49,12607329,0,enrol,2021,2021,0.0
50+,23085427,0,enrol,2021,2021,0.0
22-25,4195415,1664,enrol,2022,2021,0.00039662345679748013
26-30,7077901,8431,enrol,2022,2021,0.0011911723546288652
31-34,6027180,0,enrol,2022,2021,0.0
35-40,8235210,0,enrol,2022,2021,0.0
41-49,12607329,0,enrol,2022,2021,0.0
50+,23085427,0,enrol,2022,2021,0.0
22-25,4195415,1999,full,2021,2021,0.0004764725301311074
26-30,7077901,10658,full,2021,2021,0.0015058136585973723
31-34,6027180,0,full,2021,2021,0.0
35-40,8235210,0,full,2021,2021,0.0
41-49,12607329,0,full,2021,2021,0.0
50+,23085427,0,full,2021,2021,0.0
22-25,4195415,1664,full,2022,2021,0.00039662345679748013
26-30,7077901,8431,full,2022,2021,0.0011911723546288652
31-34,6027180,0,full,2022,2021,0.0
35-40,8235210,0,full,2022,2021,0.0
41-49,12607329,0,full,2022,2021,0.0
50+,23085427,0,full,2022,2021,0.0
22-25,4496495,1536,enrol,2021,2022,0.00034159940131146593
26-30,7110821,12054,enrol,2021,2022,0.0016951629073492357
31-34,6443750,0,enrol,2021,2022,0.0
35-40,8694433,0,enrol,2021,2022,0.0
41-49,12851752,0,enrol,2021,2022,0.0
50+,23719493,0,enrol,2021,2022,0.0
22-25,4496495,1400,enrol,2022,2022,0.0003113536209870132
26-30,7110821,9934,enrol,2022,2022,0.0013970257442846613
31-34,6443750,0,enrol,2022,2022,0.0
35-40,8694433,0,enrol,2022,2022,0.0
41-49,12851752,0,enrol,2022,2022,0.0
50+,23719493,0,enrol,2022,2022,0.0
22-25,4496495,1536,full,2021,2022,0.00034159940131146593
26-30,7110821,12054,full,2021,2022,0.0016951629073492357
